Go.	Gå!
What is your favorite song on this album?	Hvad er din yndlingssang på dette album?
What's the best way to learn how to swim?	Hvordan lærer man bedst at svømme?
What's the weather forecast for tomorrow?	Hvordan lyder vejrudsigten for i morgen?
When I opened the door, I broke the lock.	Da jeg åbnede døren, ødelagde jeg låsen.
When the cat is away, the mice will play.	Når katten er ude, danser musene på bordet.
When was the last time you took a shower?	Hvornår tog du sidst et brusebad?
Which do you like better, spring or fall?	Hvad kan du bedst lide: forår eller efterår?
Whip the egg-whites until they are stiff.	Pisk æggehviden stiv.
Who's the boy that's swimming over there?	Hvem er den dreng der svømmer derovre?
Wounded bears are usually very dangerous.	Sårede bjørne er normalt meget farlige.
You can't separate language from culture.	Man kan ikke adskille sprog og kultur.
You have an e-mail message in your inbox.	Du har en e-mailbesked i din indbakke.
You must not eat anything for a few days.	Du må ikke spise noget i et par dage.
You've got to take the bull by the horns!	Du er nødt til at tage tyren ved hornene!
Your replacement has already been chosen.	Den person som skal afløse dig, er allerede blevet valgt.
Your replacement has already been picked.	Den person som skal afløse dig, er allerede blevet valgt.
A boy and a girl are sitting on the fence.	En dreng og en pige sidder på gærdet.
A boy and a girl are sitting on the fence.	En dreng og en pige sidder på stakittet.
A friend is hard to find and easy to lose.	En ven er svær at finde og let at miste.
A great deal has happened since that time.	En hel del er sket siden da.
A long time ago, there was a bridge there.	For lang tid siden var der en bro der.
All living things on Earth contain carbon.	Alle levende væsner på Jorden indeholder kulstof.
All you need is to get a driver's license.	Alt hvad du behøver, er at få et kørekort.
Are you saying what I think you're saying?	Siger du det jeg tror du siger?
Bread and butter is their usual breakfast.	Brød og smør er deres sædvanlige morgenmad.
Can you tell me how to get to the station?	Kan du fortælle mig vejen til stationen?
Cats were sacred animals in ancient Egypt.	Katte var hellige dyr i det gamle Ægypten.
Cats were sacred animals in ancient Egypt.	Katte var hellige dyr i det gamle Egypten.
Children sometimes have imaginary friends.	Børn har sommetider indbildte venner.
Didn't you know that Tom didn't like Mary?	Vidste du ikke at Tom ikke kunne lide Mary?
Do you remember your license plate number?	Kan du huske din nummerplade?
Does anyone know the name of the deceased?	Er der nogen der kender navnet på den afdøde?
Dogs have much better hearing than humans.	Hunde har meget bedre hørelse end mennesker.
Don't take pictures of me when I'm eating.	Tag ikke billeder af mig når jeg spiser.
Each of us has to be careful when driving.	Vi skal alle være forsigtige når vi kører.
Everyone wants to meet you. You're famous!	Alle ønsker at træffe dig. Du er berømt!
Extremists kidnapped the president's wife.	Ekstremister bortførte præsidentens hustru.
Extremists kidnapped the president's wife.	Ekstremister har bortført præsidentens hustru.
Extremists kidnapped the president's wife.	Ekstremister kidnappede præsidentens hustru.
Extremists kidnapped the president's wife.	Ekstremister har kidnappet præsidentens kone.
Go to the doctor to get your prescription!	Gå hen til lægen og få din recept!
Have you ever plowed a field with a horse?	Har du nogensinde pløjet en mark med en hest?
Have you met any Canadians here in Boston?	Har du mødt nogen canadiere her i Boston?
Have you met any Canadians here in Boston?	Har du mødt canadiere her i Boston?
He can make himself understood in English.	Han kan gøre sig forståelig på engelsk.
He is always busy feathering his own nest.	Han er altid travlt beskæftiget med at mele sin egen kage.
He is always busy feathering his own nest.	Han er altid travlt beskæftiget med at hyppe sine egne kartofler.
He is writing a letter to his parents now.	Han er ved at skrive et brev til sine forældre.
He is writing a letter to his parents now.	Han er i gang med at skrive et brev til sine forældre.
He opened the cage and set the birds free.	Han åbnede buret og slap fuglene fri.
He promised me that he would come at four.	Han lovede mig at han ville komme klokken fire.
He's the boy we spoke about the other day.	Han er den dreng vi talte om forleden dag.
He's the boy we spoke about the other day.	Han er den dreng vi talte om forleden.
He's the boy we spoke about the other day.	Han er den dreng vi talte om den anden dag.
How did you learn to speak French so well?	Hvordan har du lært at tale fransk så godt?
How many times a day do you feed your dog?	Hvor mange gange om dagen fodrer du din hund?
I bet you no one's thought of this before.	Jeg vil vædde på at det har ingen tænkt på før.
I bet you no one's thought of this before.	Jeg tør vædde på at det har ingen tænkt på før.
I bought this as a gift for my girlfriend.	Jeg købte dette som en gave til min kæreste.
I can hear a cat scratching at the window.	Jeg kan høre en kat kradse ved vinduet.
I can't leave until I find out who Tom is.	Jeg kan først gå når jeg ved hvem Tom er.
I can't leave until I find out who Tom is.	Jeg kan ikke gå før jeg finder ud af hvem Tom er.
I could go for a nice hot pizza right now.	Jeg kunne nu have lyst til en skøn, varm pizza.
I couldn't have said it any better myself.	Jeg kunne ikke have sagt det bedre.
I deal with people like that all the time.	Jeg har med den slags mennesker at gøre hele tiden.
I don't even know if Tom has a girlfriend.	Jeg ved ikke engang om Tom har en kæreste.
I don't have a car and Tom doesn't either.	Jeg har ikke en bil, og det har Tom heller ikke.
I don't have any money, but I have dreams.	Jeg har ikke penge, men jeg har drømme.
I don't like to eat garlic in the morning.	Jeg bryder mig ikke om at spise hvidløg om morgenen.
I don't think Tom knows that I'm Canadian.	Jeg tror ikke Tom ved at jeg er canadisk.
I feel like going for a walk this morning.	Jeg har lyst til at gå en tur her til morgen.
I figured if Tom could do it, I could too.	Jeg regnede med at hvis Tom kunne gøre det, så kunne jeg også.
I haven't gotten around to doing that yet.	Jeg har ikke nået det endnu.
I helped her hang the picture on the wall.	Jeg hjalp hende med at hænge billedet op på væggen.
I just want to wish you a merry Christmas.	Jeg vil bare ønske dig en glædelig jul.
I look forward to seeing you at Christmas.	Jeg ser frem til at se dig til jul.
I love the smell of coffee in the morning.	Jeg elsker lugten af kaffe om morgenen.
I love the smell of coffee in the morning.	Jeg elsker duften af kaffe om morgenen.
I miss the hustle and bustle of city life.	Jeg savner bylivets liv og røre.
I miss the hustle and bustle of city life.	Jeg savner bylivets pulserende liv.
I miss the hustle and bustle of city life.	Jeg savner bylivets travlhed og larm.
I never should've kissed Tom's girlfriend.	Jeg skulle aldrig have kysset Toms kæreste.
I opened an account in my daughter's name.	Jeg åbnede en konto i min datters navn.
I really like the concept of this website.	Jeg kan virkelig lide konceptet for denne netside.
I thought you said you were bad at French.	Sagde du ikke at du var dårlig til fransk?
I thought you said you weren't interested.	Jeg troede du sagde at du ikke var interesseret.
I took it for granted that she would come.	Jeg tog det for givet at hun ville komme.
I tried to hug Tom, but he pushed me away.	Jeg prøvede at give Tom et knus, men han skubbede mig væk.
I was wondering if you knew where Tom was.	Jeg tænkte på om du vidste hvor Tom var.
I wasn't able to go to his birthday party.	Jeg kunne ikke komme til hans fødselsdagsfest.
I would rather starve to death than steal.	Jeg ville hellere sulte ihjel end stjæle.
I would've done that if I'd had more time.	Jeg ville have gjort det selv, hvis jeg havde haft mere tid.
I'll never forget what you've done for me.	Jeg vil aldrig glemme hvad du har gjort for mig.
I'll soon register for a course in German.	Jeg vil snart tilmelde mig et kursus i tysk.
I'll soon register for a course in German.	Jeg vil snart melde mig til et kursus i tysk.
I'll soon register for a course in German.	Jeg vil snart tilmelde mig et tyskkursus.
I'm going to stop by your office tomorrow.	Jeg kommer forbi dit kontor i morgen.
I'm sorry, but I already have a boyfriend.	Jeg er ked af det, men jeg har allerede en kæreste.
I'm spending Christmas Eve with my family.	Jeg tilbringer juleaften med min familie.
I'm staying at a hotel for the time being.	Jeg bor på et hotel for tiden.
I'm waiting for her to climb into her car.	Jeg venter på at hun stiger ind i sin bil.
I've known Tom longer than I've known you.	Jeg har kendt Tom længere end jeg har kendt dig.
I've only read the first part of the book.	Jeg har kun læst den første del af bogen.
In my opinion, Twitter is a waste of time.	Efter min mening er Twitter spild af tid.
Is he speaking English, French, or German?	Taler han engelsk, fransk eller tysk?
Is there something else we can do for Tom?	Er der noget andet, vi kan gøre for Tom?
Is this the right way to Yokohama Station?	Er dette den rigtige vej til Yokohama station.
It came to a grand total of 150,000 euros.	Det har alt i alt kostet 150.000 euro.
It cost him ten dollars to get the ticket.	Det kostede ham ti dollars at få billetten.
It was hard for them to get to the island.	Det var svært for dem at komme til øen.
It wasn't the first time they had done it.	Det var ikke første gang de havde gjort det.
It won't be long before we know the truth.	Vi vil snart kende sandheden.
It won't be long before we know the truth.	Vi vil snart vide sandheden.
It's no secret that Tom doesn't like Mary.	Det er ingen hemmelighed at Tom ikke kan lide Maria.
Let me think it over for a couple of days.	Lad mig tænke over det et par dage.
Many English words are derived from Latin.	Mange engelske ord stammer fra latin.
Many children die of starvation in Africa.	Mange børn dør af sult i Afrika.
Mary was in the bathroom, fixing her hair.	Mary var på badeværelset og ordnede sit hår.
My driver's license will expire next week.	Mit kørekort udløber i næste uge.
My grandfather was killed in World War II.	Min bedstefar blev dræbt under anden verdenskrig.
My grandfather was killed in World War II.	Min bedstefar blev dræbt under Anden Verdenskrig.
My grandfather was killed in World War II.	Min bedstefar blev dræbt under 2. verdenskrig.
Not knowing what to answer, I kept silent.	Da jeg ikke vidste hvad jeg skulle svare, tav jeg.
Please wake me up at six tomorrow morning.	Væk mig venligst klokken seks i morgen tidlig.
She got married against her father's will.	Hun giftede sig mod sin fars vilje.
She had a little round object in her hand.	Hun havde en lille rund genstand i hånden.
She is well known in both India and China.	Hun er velkendt i både Indien og Kina.
She loves the child as if it were her own.	Hun elsker barnet som om det var hendes eget.
She showed me a letter written in English.	Hun viste mig et brev skrevet på engelsk.
She went into the room and lay on the bed.	Hun var gået ind i værelset og havde lagt sig på sengen.
She's not my grandmother. She's my mother.	Hun er ikke min bedstemor. Hun er min mor.
Since when do you care what anyone thinks?	Siden hvornår bekymrer du dig om hvad nogen tænker?
Some of the apples in the box were rotten.	Nogle af æblerne i kassen var rådne.
Someone has unplugged the washing machine.	Nogen har frakoblet vaskemaskinen.
Students may not enter the faculty lounge.	Studerende har ikke adgang til lærerværelset.
Students may not enter the teachers' room.	Elever har ikke adgang til lærerværelset.
Students may not enter the teachers' room.	Studerende har ikke adgang til lærerværelset.
Switch on the light. I can't see anything.	Tænd lyset. Jeg kan ikke se noget.
Thai is the official language of Thailand.	Thai er Thailands officielle sprog.
Thank you for your cooperation in advance.	På forhånd tak for dit samarbejde.
Thank you very much for all you have done.	Mange tak for alt hvad du har gjort.
Thank you very much for all you have done.	Mange tak for alt hvad I har gjort.
That rule doesn't apply in this situation.	Den regel gælder ikke i denne situation.
That television is both big and expensive.	Dette tv-apparat er både stort og dyrt.
The American economy suffered a recession.	Den amerikanske økonomi har lidt under en recession.
The airport was closed because of the fog.	Lufthavnen var lukket på grund af tågen.
The apple does not fall far from the tree.	Æblet falder ikke langt fra træet.
The apple trees blossomed early this year.	Æbletræerne blomstrede tidligt i år.
The audience consisted mainly of students.	Publikummet bestod hovedsagelig af studerende.
The human brain weighs about three pounds.	Den menneskelige hjerne vejer omtrent tre pund.
The injured were transported by ambulance.	De sårede blev transporteret med ambulance.
The library will issue you a library card.	Biblioteket vil udstede et lånerkort til dig.
The market was flooded with foreign goods.	Markedet blev oversvømmet af udenlandske varer.
The movie was so sad that everybody cried.	Filmen var så trist at alle græd.
The movie was so sad that everybody cried.	Filmen var så sørgelig at alle græd.
The only girl Tom has ever kissed is Mary.	Den eneste pige som Tom nogensinde har kysset, er Mary.
The only language Tom can speak is French.	Det eneste sprog Tom kan tale, er fransk.
The picture of the accident makes me sick.	Billedet af ulykken giver mig kvalme.
The police arrested the suspect yesterday.	Politiet anholdt den mistænkte i går.
The population of this city has decreased.	Befolkningstallet i denne by er faldet.
The smoke alarm has never been maintained.	Røgalarmen er aldrig blevet vedligeholdt.
The town is two miles away from the coast.	Byen ligger to mil fra kysten.
The typhoon moved in a westerly direction.	Tyfonen bevægede sig i vestlig retning.
The weather today is worse than yesterday.	Vejret i dag er værre end i går.
The weather today is worse than yesterday.	Vejret er i dag dårligere end i går.
Their apples aren't as good as our apples.	Deres æbler er ikke så gode som vores æbler.
There is a marked difference between them.	Der er en klar forskel mellem de to.
There used to be a house here at one time.	Her har der engang været et hus.
There was a deep pond there ten years ago.	Der var en dyb dam der for ti år siden.
There was a deep pond there ten years ago.	Der var en dyb dam dér for ti år siden.
There was a really cute girl on the train.	I toget sad der en meget sød pige.
There was a steady increase in population.	Der var en jævn stigning i indbyggertallet.
There was broken glass all over the floor.	Der lå glasskår over hele gulvet.
There were three coffee mugs on the table.	Der var tre kaffekrus på bordet.
There were too many people at the concert.	Der var for mange mennesker til koncerten.
These butterflies are rare in our country.	Disse sommerfugle er sjældne i vores land.
These butterflies are rare in our country.	Disse sommerfugle er sjældne i vort land.
They declined the invitation to our party.	De afviste indbydelsen til vores fest.
This city is 1,600 meters above sea level.	Denne by ligger 1600 meter over havets overflade.
This country is poor in natural resources.	Dette land er fattig på naturresurser.
This country is poor in natural resources.	Dette land er fattig på naturressourcer.
This is the best book that I've ever read.	Dette er den bedste bog, jeg nogensinde har læst.
This piece of furniture has a fine finish.	Dette møbel har en fin finish.
Tom accidentally shot himself in the foot.	Tom skød sig selv i foden ved et uheld.
Tom accidentally shot himself in the foot.	Tom kom til at skyde sig selv i foden.
Tom and Mary both went to the same school.	Tom og Mary gik begge på den samme skole.
Tom and Mary decorated the Christmas tree.	Tom og Mary pyntede juletræet.
Tom and Mary kept their marriage a secret.	Tom og Mary holdt deres ægteskab hemmeligt.
Tom and his friends went outside to smoke.	Tom og hans venner gik udenfor for at ryge.
Tom asked me how much money I had with me.	Tom spurgte mig om hvor mange penge jeg havde på mig.
Tom bought himself a pair of rubber boots.	Tom købte et par gummistøvler til sig selv.
Tom didn't give me anything for Christmas.	Tom gav mig ikke noget til jul.
Tom didn't know where the money came from.	Tom vidste ikke hvor pengene kom fra.
Tom didn't want to make a fool of himself.	Tom ville ikke gøre sig selv til grin.
Tom didn't want to make a fool of himself.	Tom ønskede ikke at gøre sig selv til grin.
Tom found out his dad wasn't his real dad.	Tom fandt ud af at hans far ikke var hans rigtige far.
Tom gave Mary $1,000 in a brown paper bag.	Tom gav Mary 1000 dollar i en brun papirspose.
Tom gave Mary $1,000 in a brown paper bag.	Tom gav Mary 1000 dollar i en brun papirpose.
Tom gave Mary $1,000 in a brown paper bag.	Tom gav Mary tusind dollars i en brun papirspose.
Tom gave Mary $1,000 in a brown paper bag.	Tom gav Mary 1000 USD i en brun papirpose.
Tom got out of bed and put his clothes on.	Tom stod op og tog tøj på.
Tom got out of bed and put his clothes on.	Tom stod op og klædte sig på.
Tom hasn't heard from Mary in over a week.	Tom har ikke hørt fra Mary i over en uge.
Tom hid the money in his underwear drawer.	Tom gemte pengene i sin undertøjsskuffe.
Tom isn't as hardworking as he used to be.	Tom er ikke så hårdtarbejdende, som han plejede at være.
Tom learned to drive when he was thirteen.	Tom lærte at køre da han var tretten.
Tom lent Mary all the money he had on him.	Tom lånte Mary alle de penge han havde på sig.
Tom lied about where he'd been last night.	Tom løj om hvor han havde været i aftes.
Tom likes the way Mary makes potato salad.	Tom kan lide kartoffelsalat som Mary laver den.
Tom mashed the potatoes with a large fork.	Tom maste kartoflerne med en stor gaffel.
Tom never should have eaten those oysters.	Tom skulle aldrig have spist de østers.
Tom persuaded Mary to sell her motorcycle.	Tom overtalte Mary til at sælge sin motorcykel.
Tom pointed at the empty glass on the bar.	Tom pegede på det tomme glas på bardisken.
Tom pointed to the empty seat next to him.	Tom pegede på den tomme plads ved siden af ​​sig.
Tom rang the doorbell a couple more times.	Tom ringede på dørklokken et par gange til.
Tom recognized Mary as soon as he saw her.	Tom genkendte Mary så snart han så hende.
Tom sat alone in the otherwise empty room.	Tom sad alene i det ellers tomme rum.
Tom sat alone in the otherwise empty room.	Tom sad alene i det ellers tomme værelse.
Tom says he'd rather walk than take a bus.	Tom siger at han hellere vil gå end tage en bus.
Tom should have helped Mary move the sofa.	Tom burde have hjulpet Mary med at flytte sofaen.
Tom told me I shouldn't wear a pink shirt.	Tom sagde til mig at jeg ikke skulle gå med en lyserød skjorte.
Tom tried to drown himself in his bathtub.	Tom forsøgte at drukne sig selv i sit badekar.
Tom tried to drown himself in his bathtub.	Tom forsøgte at drukne sig selv i badekaret.
Tom was fined for crossing on a red light.	Tom fik en bøde for at gå over for rødt.
Tom was standing in front of Mary's house.	Tom stod foran Marys hus.
Tom will be eligible for parole next year.	Tom bliver berettiget til prøveløsladelse næste år.
Tom will be tickled pink when he sees you.	Tom bliver henrykt når han ser dig.
Tom's great-great-grandfather was a slave.	Toms tipoldefar var slave.
Was there a book on the desk a moment ago?	Var der en bog på skrivebordet for et øjeblik siden?
We could not go there because of the rain.	Vi kunne ikke tage derhen på grund af regnen.
We have guided missiles and misguided men.	Vi har styrede missiler og vildledte mennesker.
We'd both really like to go to your party.	Vi kunne begge to rigtig godt tænke os at komme til din fest.
We're not the only ones here who know Tom.	Vi er ikke de eneste her, som kender Tom.
We're not the only ones here who know Tom.	Vi er ikke de eneste her, der kender Tom.
What do you usually do in your spare time?	Hvad laver du i din fritid?
What time is our train arriving at Hakata?	Hvad tid ankommer vores tog til Hakata?
What will you live on while you are there?	Hvad vil du leve af mens du er der?
What'll actually happen is anyone's guess.	Hvad der rent faktisk vil ske, kan man kun gisne om.
When was the last time you rode a bicycle?	Hvornår har du sidst cyklet?
When was the last time you rode a bicycle?	Hvornår cyklede du sidst?
Which continent is the most populated one?	Hvilket kontinent er det mest befolkede?
Why are you asking me all these questions?	Hvorfor stiller du mig alle disse spørgsmål?
Why are you asking me all these questions?	Hvorfor stiller De mig alle disse spørgsmål?
Why are you asking me all these questions?	Hvorfor stiller I mig alle disse spørgsmål?
Why didn't you tell me about that earlier?	Hvorfor har du ikke fortalt mig om det tidligere?
Why is he angry about something like that?	Hvorfor er han vred over sådan noget?
Would you like to have another cup of tea?	Vil du have en kop te mere?
You can't put toothpaste back in the tube.	Man kan ikke stoppe tandpasta tilbage i tuben.
You have to stay in bed until next Monday.	Du skal blive i sengen indtil næste mandag.
You must be careful not to make him angry.	Du skal passe på ikke at gøre ham vred.
You seem to be thinking of something else.	Det virker som om du tænker på noget andet.
A foreigner asked me where the station was.	En udlænding spurgte mig hvor stationen lå.
A huge monster is coming down the mountain.	Et kæmpe monster er på vej ned af bjerget.
A stranger came up to me and asked the way.	En fremmed kom hen til mig og spurgte om vej.
Almost all the students believed the rumor.	Næsten alle studerende troede på rygtet.
An apple will float in water, a pear won't.	Et æble vil flyde på vandet, en pære vil ikke.
Astronomy deals with the stars and planets.	Astronomi handler om stjerner og planeter.
Because he was tired, he went to bed early.	Fordi han var træt gik han tidlig i seng.
Christmas comes a few days before New Year.	Julen kommer få dage før nytår.
Could you explain how the dishwasher works?	Kan du forklare os hvordan opvaskemaskinen fungerer?
Could you please turn your television down?	Kan du venligst skrue ned for fjernsynet?
Could you please turn your television down?	Vil du være så venlig at skrue ned fjernsynet?
Could you tell me how to adjust the volume?	Kan du fortælle mig, hvordan man justerer lydstyrken?
Dad is in the kitchen because he's cooking.	Far er i køkkenet fordi han laver mad.
Didn't it occur to you to shut the windows?	Har det ikke strejfet dine tanker at lukke vinduerne?
Didn't it occur to you to shut the windows?	Har det strejfet jeres tanker at lukke vinduerne?
Do you have a special menu for vegetarians?	Har du en særlig menu for vegetarer?
Do you have a special menu for vegetarians?	Har I en særlig menu for vegetarer?
Do you have any more tricks up your sleeve?	Har du flere tricks i ærmet?
Do you know how to get to the Hilton Hotel?	Ved du hvordan man kommer til Hilton-hotellet?
Do you still have a key to Tom's apartment?	Har du stadig en nøgle til Toms lejlighed?
Do you think Tom has any chance of winning?	Tror du Tom har nogen chance for at vinde?
Everyone clapped at the end of the concert.	Alle klappede ved slutningen af koncerten.
Everything is going horribly wrong for Tom.	Alt går grusomt galt for Tom.
Everything that could go wrong, went wrong.	Alt, hvad der kunne gå galt, gik galt.
Gold is more precious than any other metal.	Guld er mere dyrebart end noget andet metal.
Guns don't kill people. People kill people.	Våben dræber ikke mennesker. Mennesker dræber mennesker.
Have you ever thought about writing a book?	Har du nogensinde overvejet at skrive en bog?
He gives an apple to the teacher every day.	Han giver læreren et æble hver dag.
He handed over all his property to his son.	Han overdrog al sin ejendom til sin søn.
He is not the sharpest knife in the drawer.	Han er ikke den skarpeste kniv i skuffen.
He often walks with his hand in his pocket.	Han går ofte med hånden i lommen.
He was surrounded by a throng of reporters.	Han var omgivet af en skare af journalister.
He'll probably finish the work by tomorrow.	Han vil sandsynligvis afslutte arbejdet i morgen.
His influence extends all over the country.	Hans indflydelse strækker sig over hele landet.
His name is known to everyone in this town.	Hans navn er kendt af alle i denne by.
His plane leaves for Hong Kong at 2:00 p.m.	Hans fly til Hong Kong afgår kl. 14:00.
How many letters are there in the alphabet?	Hvor mange bogstaver er der i alfabetet?
How many times a day should you feed a dog?	Hvor mange gange om dagen bør man fodre en hund?
I can't thank you enough for your kindness.	Jeg kan ikke takke dig nok for din venlighed.
I didn't understand a single word Tom said.	Jeg forstod ikke et eneste ord af det Tom sagde.
I don't know what's going to happen to you.	Jeg ved ikke hvad der vil ske dig.
I don't like to cook when it's hot outside.	Jeg kan ikke lide at lave mad når det er varmt udenfor.
I don't think people use that word anymore.	Jeg tror ikke man bruger det ord længere.
I drink either coffee or tea every morning.	Jeg drikker enten kaffe eller te hver morgen.
I drink three or four cups of coffee a day.	Jeg drikker tre eller fire kopper kaffe om dagen.
I drink three or four cups of coffee a day.	Jeg drikker tre til fire kopper kaffe om dagen.
I felt very relieved when I heard the news.	Jeg følte mig meget lettet da jeg hørte nyheden.
I forgot to attach a stamp to the envelope.	Jeg glemte at sætte et frimærke på konvolutten.
I got into a traffic jam on the expressway.	Jeg kom ind i en trafikprop på motorvejen.
I got into bed and immediately fell asleep.	Jeg lagde mig i sengen og faldt straks i søvn.
I have the same number of books as Tom has.	Jeg har lige så mange bøger som Tom.
I have the same number of books as Tom has.	Jeg har lige så mange bøger som Tom har.
I have three times as many books as you do.	Jeg har tre gange så mange bøger som dig.
I have three times as many books as you do.	Jeg har tre gange så mange bøger som du har.
I have to study for tomorrow's French test.	Jeg er nødt til at forberede mig til franskprøven i morgen.
I like animals, for example, cats and dogs.	Jeg kan lide dyr, fx katte og hunde.
I like animals, for example, cats and dogs.	Jeg kan lide dyr, for eksempel katte og hunde.
I met my teacher on the way to the station.	Jeg mødte min lærer på vej til stationen.
I pawned my guitar so I could pay the rent.	Jeg pantsatte min guitar så jeg kunne betale huslejen.
I think you're the only one who needs help.	Jeg tror du er den eneste der har brug for hjælp.
I will take the one that is more expensive.	Jeg tager den der er dyrere.
I'd like you to translate this into French.	Jeg vil gerne have dig til at oversætte dette til fransk.
I'll make sure Tom has everything he needs.	Jeg vil sørge for at Tom har alt han har brug for.
I'm having a hard time with French grammar.	Jeg har problemer med den franske grammatik.
I'm looking forward to the summer vacation.	Jeg glæder mig til sommerferien.
I'm right in the middle of doing something.	Jeg er lige i gang med noget.
I've heard the French version of this song.	Jeg har hørt den franske version af denne sang.
I've put a little bit of milk in my coffee.	Jeg har puttet en lille smule mælk i min kaffe.
I've trained my dog to come when I whistle.	Jeg har trænet min hund til at komme når jeg fløjter.
If it snows tomorrow, I'll build a snowman.	Hvis det sner i morgen, vil jeg lave en snemand.
In the fall, many birds head for the south.	Om efteråret trækker mange fugle sydover.
Is eating organic food worth what it costs?	Er at spise økologisk pengene værd?
Is this computer connected to the Internet?	Er denne computer tilsluttet internettet?
It doesn't matter which team wins the game.	Det spiller ingen rolle hvilket hold der vinder spillet.
It is not my intent to hurt you in any way.	Det er ikke min hensigt at såre dig på nogen som helst måde.
It took us half an hour to set up the tent.	Det tog os en halv time at sætte teltet op.
It's important that you practice every day.	Det er vigtigt at du øver dig hver dag.
It's the biggest house in the neighborhood.	Det er det største hus i nabolaget.
Let me help you. Your bag looks very heavy.	Lad mig hjælpe dig. Din taske ser meget tung ud.
Let me help you. Your bags look very heavy.	Lad mig hjælpe dig. Dine tasker ser meget tunge ud.
Macaroni and cheese is Tom's favorite food.	Makaroni og ost er Toms yndlingsmad.
Macaroni and cheese is Tom's favorite food.	Makaroni og ost er Toms livret.
Many rich people live in this neighborhood.	Der bor mange rige mennesker i det her kvarter.
Mary hasn't shaved her legs in three years.	Mary har ikke barberet sine ben i tre år.
Mona Lisa was painted by Leonardo da Vinci.	Mona Lisa blev malet af Leonardo da Vinci.
Mona Lisa was painted by Leonardo da Vinci.	Mona Lisa blev malt af Leonardo da Vinci.
Norwegian is similar to Swedish and Danish.	Norsk ligner svensk og dansk.
One of my cousins is married to a novelist.	En af mine kusiner er gift med en romanforfatter.
Our teacher is going to the USA next month.	Vores lærer skal til USA i næste måned.
Our teacher is going to the USA next month.	Vores lærer tager til USA i næste måned.
People of your age often have this problem.	Folk i din alder har ofte dette problem.
She looked very beautiful in her new dress.	Hun så meget smuk ud i sin nye kjole.
She sorted the files in alphabetical order.	Hun sorterede filerne i alfabetisk rækkefølge.
She sorted the files in alphabetical order.	Hun sorterede filerne i alfabetisk orden.
She was advised by him to give up drinking.	Han rådede hende til at holde op med at drikke.
She was more beautiful than all the others.	Hun var smukkere end alle de andre.
She works as a nurse in the local hospital.	Hun arbejder som sygeplejerske på det lokale sygehus.
She works as a nurse in the local hospital.	Hun arbejder som sygeplejerske på det lokale hospital.
Smoking is not allowed inside the elevator.	Rygning er ikke tilladt inde i elevatoren.
Sorry, I must have dialed the wrong number.	Undskyld, jeg har vist ringet til et forkert nummer.
That program is broadcast every other week.	Det program sendes hver anden uge.
That's one way of looking at it, I suppose.	Det er én måde at se på det, tror jeg.
The bread was moldy, but Tom ate it anyway.	Brødet var muggent, men Tom spiste det alligevel.
The church is in the middle of the village.	Kirken ligger midt i landsbyen.
The church is in the middle of the village.	Kirken står midt i landsbyen.
The company is trying to improve its image.	Firmaet prøver at forbedre sit image.
The game was called off on account of rain.	Spillet blev aflyst på grund af regn.
The heavy rain prevented me from going out.	Den kraftige regn forhindrede mig i at gå ud.
The jacket's wearing through at the elbows.	Jakken er slidt igennem på albuerne.
The police expect people to follow the law.	Politiet forventer at folk overholder loven.
The princess couldn't help laughing at him.	Prinsessen kunne ikke lade være med at le ad ham.
The problem will resolve itself eventually.	Problemet vil løse sig selv med tiden.
The school is five kilometers from my home.	Skolen ligger fem kilometer fra mit hjem.
The swimming pool is covered in the winter.	Swimmingpoolen er overdækket om vinteren.
The teacher was surrounded by her students.	Den kvindelige lærer var omgivet af sine studerende.
The teacher was surrounded by her students.	Lærerinden var omgivet af sine studerende.
The telephone was invented by Bell in 1876.	Telefonen blev opfundet af Bell i 1876.
There must be some solution to the problem.	Der må være en løsning på problemet.
There was nothing left in the refrigerator.	Der var intet tilbage i køleskabet.
There's a good chance that he'll be chosen.	Der er en god chance for at han vil blive valgt.
There's nothing worth watching on TV today.	Der er intet der er værd at se på TV i dag.
They have lived in this town for ten years.	De har boet i denne by i ti år.
They sell apples, oranges, eggs, and so on.	De sælger æbler, appelsiner, æg og så videre.
They were stuck for hours in a traffic jam.	De sad fast i timevis i en trafikprop.
They were stuck for hours in a traffic jam.	I timevis sad de fast i en trafikprop.
They were stuck for hours in a traffic jam.	De sad fast i en trafikprop i timevis.
They're on good terms with their neighbors.	De kommer godt ud af det med naboerne.
Things just kept going downhill from there.	Forholdene blev bare ved med at gå ned ad bakke derfra.
This is not my first time riding a bicycle.	Dette er ikke første gang jeg cykler.
This is not my first time riding a bicycle.	Dette er ikke første gang jeg kører på cykel.
This is the strangest thing I've ever done.	Det her er det mærkeligste jeg nogensinde har gjort.
This program is broadcast every other week.	Dette program sendes hver anden uge.
This time, you won't avoid your punishment.	Denne gang undgår du ikke din straf.
Tom and I had a long discussion about that.	Tom og jeg havde en lang diskussion om det.
Tom and Mary are bickering with each other.	Tom og Mary småskændes.
Tom and Mary are bickering with each other.	Tom og Mary mundhugges.
Tom and Mary don't love each other anymore.	Tom og Mary elsker ikke længere hinanden.
Tom and Mary don't love each other anymore.	Tom og Mary elsker ikke hinanden mere.
Tom and Mary got married in a small church.	Tom og Mary blev gift i en lille kirke.
Tom and Mary have been married three years.	Tom og Mary har været gift i tre år.
