Go.	Va !
Please come.	Veuillez venir.
Please sing.	Chante, je te prie !
Please sing.	Chantez, je vous prie !
Please sing.	S'il te plaît, chante !
Please sing.	S'il vous plaît, chantez !
Please sing.	Veuillez chanter !
Please stay.	Reste, s'il te plaît.
Please stay.	Restez, s'il vous plaît.
Please stop.	S'il te plaît, arrête.
Please stop.	S'il vous plaît, arrêtez.
Please stop.	Arrêtez, s'il vous plaît.
Please stop.	Arrête, s'il te plaît.
Please stop.	Veuillez arrêter.
Please stop.	Merci d'arrêter.
Put it back.	Remets-le en place !
Put it down.	Laisse-le !
Put it down.	Pose-le !
Release him.	Relâche-le !
Release him.	Relâchez-le !
Remember it.	Souviens-en-toi.
Remember it.	Souvenez-vous-en.
Say goodbye.	Dis au revoir.
Say goodbye.	Dites au revoir.
Send him in.	Envoie-le !
Send him in.	Envoyez-le !
Shall we go?	Y allons-nous ?
She blushed.	Elle a rougi.
She fainted.	Elle est tombée dans les pommes.
She hit him.	Elle le frappa.
She hit him.	Elle l'a frappé.
She is curt.	Elle n'a pas de charme.
She is dead.	Elle est morte.
She is kind.	Elle est gentille.
She is late.	Elle est en retard.
She woke up.	Elle se réveille.
She's a dog.	C'est une enfoirée.
She's a fox.	C'est un renard.
Should I go?	Devrais-je y aller ?
Should I go?	Devrais-je partir ?
Sleep tight.	Dors bien.
Sleep tight.	Dormez bien.
Stand aside.	Reste à l'écart.
Stand aside.	Restez à l'écart.
Stand aside.	Écarte-toi.
Stand aside.	Écartez-vous.
Stand still!	Pas un geste !
Stand still!	Tiens-toi tranquille !
Stay in bed.	Reste au lit !
Stay in bed.	Restez au lit !
Stay in bed.	Reste alité !
Stay in bed.	Reste alitée !
Stay in bed.	Restez alité !
Stay in bed.	Restez alitée !
Stay in bed.	Restez alités !
Stay in bed.	Restez alitées !
Stay inside.	Reste à l'intérieur !
Step inside.	Avance à l'intérieur.
Step inside.	Avancez à l'intérieur.
Stop crying.	Arrête de pleurer !
Stop crying.	Arrêtez de pleurer !
Stop trying.	Arrête d'essayer.
Take a bath.	Prends un bain !
Take a bite.	Croque !
Take a bite.	Prends une bouchée !
Take a bite.	Prenez une bouchée !
Take a bite.	Croquez !
Take a card.	Prends une carte.
Take a card.	Prenez une carte.
Take a look.	Regarde !
Take a look.	Regardez !
Take a look.	Jette un œil !
Take a look.	Jetez un œil !
Take a rest.	Reposez-vous.
Take a rest.	Repose-toi.
Take a seat.	Assieds-toi !
Take a seat.	Asseyez-vous !
Take a seat.	Prenez place !
Take a seat.	Prends place !
Take a seat.	Assieds-toi.
Take a walk.	Va marcher !
Take a walk.	Allez marcher !
Take it all.	Prends tout !
Take it all.	Prenez tout !
That helped.	Cela a aidé.
That is all.	C'est tout.
That worked.	Ça a fonctionné.
That worked.	Ça a marché.
That's cool.	C'est super.
That's cool.	C'est cool.
That's easy.	C'est simple.
That's free.	C'est gratuit.
That's hard.	C'est dur.
That's hers.	Ce sont les siens.
That's hers.	C'est le sien.
That's hers.	C'est la sienne.
That's hers.	C'est à elle.
That's icky.	C'est collant.
That's icky.	C'est gnangnan.
That's lame.	C'est minable.
That's lame.	C'est faible.
That's mine.	C'est le mien.
That's mine.	C'est la mienne.
That's true.	C'est exact.
That's true.	C'est juste.
That's ugly.	C'est laid.
That's wise.	C'est sage.
The TV's on.	La télé est allumée.
There he is.	Le voilà.
There he is.	Le voici.
There it is.	Il est là.
They burned.	Ils ont brûlé.
They burned.	Elles ont brûlé.
They got it.	Ils l'ont eu.
They got it.	Ils l'ont eue.
They hugged.	Ils se sont enlacés.
They hugged.	Elles se sont enlacées.
They kissed.	Ils se sont embrassés.
They obeyed.	Ils ont obéi.
They obeyed.	Elles ont obéi.
They smiled.	Ils ont souri.
They smiled.	Elles ont souri.
They're bad.	Ils sont mauvais.
They're bad.	Elles sont mauvaises.
They're old.	Ils sont vieux.
They're old.	Elles sont vieilles.
This is bad.	Ça pue.
This is bad.	C'est pas bon.
This is bad.	Ce n'est pas bon.
This is bad.	C'est mauvais.
This is big.	C'est gros.
This is big.	C'est grand.
This is fun.	C'est amusant.
This is his.	C'est le sien.
This is his.	C'est la sienne.
This is new.	C'est nouveau.
This is new.	C'est neuf.
This is odd.	C'est bizarre.
This stinks.	Ça pue.
Tom blinked.	Tom a cligné des yeux.
Tom changed.	Tom a changé.
Tom coughed.	Thomas toussota.
Tom drowned.	Tom se noya.
Tom drowned.	Tom s'est noyé.
Tom inhaled.	Tom inspira.
Tom is bald.	Tom est chauve.
Tom is dead.	Tom est mort.
Tom is lazy.	Tom est paresseux.
Tom is nuts.	Tom est malade mental.
Tom is rude.	Tom est impoli.
Tom is sexy.	Tom est sexy.
Tom is slow.	Tom est lent.
Tom is tall.	Tom est grand.
Tom is weak.	Tom est faible.
Tom is wise.	Tom est raisonnable.
Tom laughed.	Tom rit.
Tom left me.	Tom m’a quitté.
Tom left me.	Tom m’a quittée.
Tom listens.	Tom écoute.
Tom refused.	Tom a refusé.
Tom said hi.	Tom a dit bonjour.
Tom said no.	Tom a dit non.
Tom sweated.	Tom a transpiré.
Tom took it.	Tom l'a pris.
Tom'll call.	Tom appellera.
Tom'll come.	Tom va venir.
Tom'll come.	Tom viendra.
Tom'll quit.	Tom va démissionner.
Tom'll quit.	Tom va arrêter.
Tom's alive.	Tom est vivant.
Tom's alive.	Tom est en vie.
Tom's alone.	Tom est tout seul.
Tom's alone.	Tom est seul.
Tom's angry.	Tom est en colère.
Tom's awake.	Tom est réveillé.
Tom's bored.	Tom s'ennuie.
Tom's crazy.	Tom est dérangé.
Tom's drunk.	Tom est saoul.
Tom's drunk.	Tom est ivre.
Tom's dying.	Thomas est mourant.
Tom's funny.	Tom est drôle.
Tom's funny.	Tom est rigolo.
Tom's funny.	Tom est marrant.
Tom's lucky.	Tom est chanceux.
Tom's lying.	Tom ment.
Tom's sorry.	Tom est désolé.
Tom's wrong.	Tom a tort.
Try to rest.	Essayez de vous reposer.
Turn around.	Faites demi-tour.
Turn around.	Fais demi-tour.
Turn it off.	Éteins-le !
Turn it off.	Éteignez-le !
Wait for us.	Attends-nous !
Wait for us.	Attendez-nous !
Wake Tom up.	Réveille Tom !
Walk slowly.	Marche lentement.
Walk slowly.	Marchez lentement.
War is evil.	La guerre est mauvaise.
War is hell.	La guerre, c'est l'enfer.
Was I wrong?	Est-ce que j'avais tort ?
Was I wrong?	Avais-je tort ?
Was I wrong?	Ai-je eu tort ?
Was it good?	Était-ce bon ?
Was it good?	C'était bon ?
We all know.	Nous le savons tous.
We all know.	Nous le savons toutes.
We all quit.	Nous démissionnons tous.
We all quit.	Nous démissionnons toutes.
We all quit.	Nous arrêtons toutes.
We all quit.	Nous arrêtons tous.
We all work.	Nous travaillons tous.
We all work.	Nous travaillons toutes.
We are boys.	Nous sommes des garçons.
We are even.	Nous sommes quittes.
We are even.	Nous sommes à égalité.
We are here.	Nous sommes ici.
We are here.	Nous y sommes.
We are late.	Nous sommes en retard.
We broke up.	Nous nous sommes séparés.
We broke up.	Nous nous sommes séparées.
We broke up.	Nous nous séparâmes.
We broke up.	Nous éclatâmes de rire.
We broke up.	Nous avons éclaté de rire.
We broke up.	Nous avons rompu.
We can meet.	Nous pouvons nous rencontrer.
We can talk.	Nous pouvons discuter.
We can wait.	Nous pouvons attendre.
We can't go.	Nous ne pouvons y aller.
We can't go.	Nous ne pouvons nous y rendre.
We can't go.	Nous ne pouvons pas y aller.
We can't go.	Nous ne pouvons pas nous y rendre.
We can't go.	Nous ne pouvons pas partir.
We did fine.	Nous nous en sommes bien tirés.
We did fine.	Nous nous en sommes bien tirées.
We did that.	Nous avons fait cela.
We did that.	On a fait ça.
We found it.	Nous l'avons trouvé.
We know him.	Nous le connaissons.
We know him.	On le connaît.
We like Tom.	Nous aimons bien Tom.
We like Tom.	Nous aimons Tom.
We like Tom.	Nous apprécions Tom.
We like him.	Nous l'apprécions.
We like him.	Nous l'aimons bien.
We miss you.	Tu nous manques.
We miss you.	Vous nous manquez.
We must act.	Il nous faut agir.
We must run.	Il nous faut courir.
We must try.	Il nous faut essayer.
We need Tom.	Nous avons besoin de Tom.
We need you.	On a besoin de toi.
We need you.	Nous avons besoin de vous.
We promised.	Nous promîmes.
We promised.	Nous avons promis.
We remember.	Nous nous souvenons.
We remember.	Nous nous en souvenons.
We survived!	Nous avons survécu !
We survived.	Nous survécûmes.
We survived.	Nous avons survécu.
We want Tom.	Nous voulons Tom.
We want one.	Nous en voulons un.
We want one.	Nous en voulons une.
We'll check.	Nous vérifierons.
We'll dance.	Nous danserons.
We'll drive.	Nous conduirons.
We'll fight.	Nous combattrons.
We'll hurry.	Nous nous dépêcherons.
We'll share.	Nous partagerons.
We'll shoot.	Nous tirerons.
We'll stand.	Nous nous tiendrons debout.
We'll start.	Nous commencerons.
We're alone.	Nous sommes seuls.
We're alone.	Nous sommes seules.
We're angry.	Nous sommes en colère.
We're armed.	Nous sommes armés.
We're armed.	Nous sommes armées.
We're bored.	Nous nous ennuyons.
We're bored.	On s'emmerde.
We're broke.	Nous sommes fauchés.
We're broke.	Nous sommes fauchées.
We're broke.	On est fauchés.
We're dying.	Nous sommes en train de mourir.
We're early.	Nous sommes en avance.
We're going.	Nous y allons.
We're happy.	Nous sommes heureux.
We're ready.	Nous sommes prêtes.
We're saved.	Nous sommes sauvés.
We're saved.	Nous sommes sauvées.
We're smart.	Nous sommes intelligents.
We're smart.	Nous sommes intelligentes.
We're sorry.	Nous sommes désolés.
We're sorry.	Nous sommes désolées.
We're stuck.	Nous sommes coincés.
We're stuck.	Nous sommes coincées.
We're tired.	Nous sommes fatigués.
We're tired.	Nous sommes fatiguées.
We're twins.	Nous sommes jumeaux.
We're twins.	Nous sommes jumelles.
What a bore!	Quel emmerdeur !
What a bore!	Quelle emmerdeuse !
What a dope!	Quelle andouille !
What a dope!	Quel couillon !
What a drag!	Quel boulet !
What a dump.	Quel taudis !
What a heel!	Quel malandrin !
What a jerk!	Quel cinglé !
What a jerk!	Quel naze !
What a joke!	Quelle blague !
What a loss!	Quelle perte !
What a mess!	Quel bordel !
What a mess!	Quelle pagaille !
What a pain!	Quelle plaie.
What a pity!	Dommage !
What a pity!	Quel malheur !
What a team!	Quelle équipe !
What is art?	Qu'est-ce que l'art ?
What was it?	Qu'était-ce ?
What was it?	Qu'est-ce que c'était ?
What was it?	De quoi s'agissait-il ?
What was it?	Qu'y avait-il ?
What'd I do?	Que ferais-je ?
What's that?	Qu'est-ce que c'est que ça ?
What's that?	Qu'est-ce ?
What's that?	Qu'est-ce là ?
What's that?	Qu'est cela ?
What's this?	Qu'est-ce que c'est ?
What's this?	C'est quoi ?
What's this?	C'est quoi, ça ?
Where is he?	Où est-il ?
Where is it?	Où est-il ?
Where is it?	Où est-elle ?
Where was I?	Où en étais-je ?
Where was I?	Où étais-je ?
Where's Tom?	Où est Tom ?
Who are you?	Qui es-tu ?
Who are you?	Qui êtes-vous ?
Who are you?	T'es qui toi ?
Who cheated?	Qui a triché ?
Who drew it?	Qui l'a dessiné ?
Who escaped?	Qui s'est échappé ?
Who is next?	À qui le tour ?
Who's going?	Qui va y aller ?
Who's there?	Qui est là ?
Whose is it?	À qui est-ce ?
Whose is it?	C'est à qui ?
Will it fit?	Cela ira-t-il ?
Will it fit?	Cela passera-t-il ?
Will it fit?	Cela s'adaptera-t-il ?
Will you go?	Irez-vous ?
Will you go?	Iras-tu ?
Will you go?	T'y rendras-tu ?
Will you go?	Vous y rendrez-vous ?
Work slowly.	Travaille lentement !
Work slowly.	Travaillez lentement !
You are big.	Tu es grand.
You are big.	Tu es grande.
You are big.	Vous êtes grand.
You are big.	Vous êtes grande.
You are big.	Vous êtes grands.
You are big.	Vous êtes grandes.
You are mad.	Tu es fou.
You cheated.	Tu as triché.
You cheated.	Vous avez triché.
You fainted.	Vous vous êtes évanoui.
You fainted.	Vous vous êtes évanouie.
You hurt me.	Tu me fais mal.
You hurt me.	Vous me faites mal.
You may sit.	Vous pouvez vous asseoir.
You may sit.	Tu peux t'asseoir.
You must go.	Il faut que tu t'en ailles.
You must go.	Tu dois y aller.
You must go.	Tu dois partir.
You must go.	Tu dois t'en aller.
You woke me.	Vous m'avez réveillée.
You're back.	Tu es de retour.
You're back.	Vous êtes de retour.
You're cool.	T'es sympa.
You're cool.	T'es décontracté.
You're fair.	Tu es juste.
You're fair.	Vous êtes juste.
You're fair.	Vous êtes justes.
You're fine.	Tu vas bien.
You're free.	Tu es libre.
You're free.	Vous êtes libres.
You're free.	Vous êtes libre.
You're good.	Vous êtes bon.
You're good.	Vous êtes bonne.
You're good.	Vous êtes bons.
You're good.	Vous êtes bonnes.
You're good.	Tu es bon.
You're good.	Tu es bonne.
You're good.	T'es bon.
You're good.	T'es bonne.
You're kind.	Tu es gentil.
You're kind.	Tu es gentille.
You're late.	Tu es en retard.
You're late.	Vous êtes en retard.
You're lazy.	Tu es paresseux.
You're lazy.	Tu es paresseuse.
You're lazy.	Vous êtes paresseux.
You're lazy.	Vous êtes paresseuses.
You're lazy.	Vous êtes paresseuse.
You're lost.	Tu es perdu.
You're lost.	Tu es perdue.
You're nice.	T'es sympa.
You're nice.	Vous êtes sympa.
You're nice.	Vous êtes sympas.
You're nuts!	Tu es fou !
You're nuts!	T'es dingue !
You're nuts!	Vous êtes dingue !
You're nuts!	Vous êtes dingues !
You're nuts!	T'es givré !
You're nuts!	T'es givrée !
You're nuts!	Vous êtes givré !
You're nuts!	Vous êtes givrée !
You're nuts!	Vous êtes givrés !
You're nuts!	Vous êtes givrées !
You're rich.	Tu es riche.
You're rich.	Vous êtes riche.
You're rich.	Vous êtes riches.
You're rude.	Tu es grossier.
You're rude.	Vous êtes grossiers.
You're rude.	Vous êtes grossière.
You're rude.	Vous êtes grossières.
You're rude.	Tu es grossière.
You're safe.	Tu es en sécurité.
You're safe.	Vous êtes en sécurité.
You're safe.	Tu es sauf.
You're safe.	Vous êtes saufs.
You're safe.	Vous êtes sauf.
You're safe.	Vous êtes sauve.
You're safe.	Vous êtes sauves.
You're safe.	Tu es sauve.
You're sick!	Vous êtes malade !
You're sick!	Tu es malade!
You're sick!	Vous êtes malade!
You're thin.	Tu es mince.
You're thin.	Vous êtes mince.
You're thin.	Vous êtes minces.
You're weak.	Tu es faible.
You're weak.	Vous êtes faible.
You're weak.	Vous êtes faibles.
You're wise.	Vous êtes raisonnables.
A car cut in.	Une voiture a coupé la route.
Abandon ship!	Abandonnez le navire !
Act your age.	Conduis-toi selon ton âge.
Act your age.	Comporte-toi comme quelqu'un de ton âge.
Act your age.	Comportez-vous comme quelqu'un de votre âge.
All is quiet.	Tout est calme.
All is still.	Tout est calme.
Am I correct?	Ai-je raison ?
Am I in love?	Suis-je amoureuse ?
Am I in love?	Suis-je amoureux ?
Anybody here?	Y a-t-il quelqu'un ?
Anybody here?	Y a-t-il qui que soit ici ?
Anybody home?	Quelqu'un est-il là ?
Anybody home?	Y a-t-il quelqu'un ?
Anybody home?	Y a-t-il quelqu'un dans la maison ?
Anybody hurt?	Quiconque a-t-il été blessé ?
Anybody hurt?	Qui que ce soit est-il blessé ?
Anything new?	Il y a du nouveau ?
Are they new?	Sont-ils nouveaux ?
Are they new?	Sont-ils neufs ?
Are they new?	Sont-elles neuves ?
Are they new?	Sont-elles nouvelles ?
Are we alone?	Sommes-nous seuls ?
Are we alone?	Sommes-nous seules ?
Are we broke?	Sommes-nous fauchés ?
Are we broke?	Sommes-nous fauchées ?
Are we ready?	Sommes-nous prêts ?
Are we ready?	Sommes-nous prêtes ?
Are you bald?	Es-tu chauve ?
Are you bald?	Êtes-vous chauves ?
Are you bald?	Êtes-vous chauve ?
Are you busy?	Es-tu occupé ?
Are you busy?	Êtes-vous occupé ?
Are you busy?	Êtes-vous occupée ?
Are you busy?	Es-tu occupé ?
Are you busy?	Es-tu occupée ?
Are you busy?	Êtes-vous occupés ?
Are you busy?	Êtes-vous occupées ?
Are you deaf?	Es-tu sourd ?
Are you deaf?	Êtes-vous sourd ?
Are you deaf?	Êtes-vous sourde ?
Are you deaf?	Es-tu sourde ?
Are you home?	Es-tu chez toi ?
Are you home?	Êtes-vous chez vous ?
Are you home?	Es-tu chez nous ?
Are you home?	Es-tu chez moi ?
Are you home?	Êtes-vous chez nous ?
Are you home?	Êtes-vous chez moi ?
Are you home?	Es-tu à la maison ?
Are you home?	Êtes-vous à la maison ?
Are you hurt?	T'es-tu blessé ?
Are you hurt?	Es-tu blessé ?
Are you hurt?	Êtes-vous blessé ?
Are you hurt?	Êtes-vous blessés ?
Are you hurt?	Êtes-vous blessées ?
Are you hurt?	Êtes-vous blessée ?
Are you hurt?	Vous êtes-vous blessé ?
Are you hurt?	Vous êtes-vous blessée ?
Are you hurt?	Vous êtes-vous blessés ?
Are you hurt?	Vous êtes-vous blessées ?
Are you lost?	Êtes-vous perdu ?
Are you lost?	Êtes-vous perdus ?
Are you lost?	Êtes-vous perdues ?
Are you lost?	Es-tu perdu ?
Are you lost?	Es-tu perdue ?
Are you lost?	Êtes-vous perdue ?
Are you sick?	Es-tu malade ?
Are you sure?	Es-tu sûr ?
Are you sure?	Es-tu sûre ?
Are you sure?	Êtes-vous sûr ?
Are you sure?	Êtes-vous sûre ?
Are you sure?	Êtes-vous sûres ?
Are you sure?	Êtes-vous sûrs ?
Are you sure?	Êtes-vous sûr ?
Are you sure?	Es-tu sûr ?
Are you sure?	Êtes-vous sûrs ?
Are you sure?	Êtes-vous sûres ?
Be attentive.	Sois attentif.
Be attentive.	Sois attentive.
Be confident.	Sois confiant !
Be confident.	Soyez confiant !
Be confident.	Soyez confiants !
Be confident.	Soyez confiante !
Be confident.	Soyez confiantes !
Be confident.	Sois confiante !
Be realistic!	Sois réaliste !
Beef, please.	Du bœuf s'il vous plaît.
Beef, please.	Du bœuf, s'il vous plaît.
Bring a date.	Amène une copine !
Bring him in.	Fais-le entrer.
Call me back.	Rappelle-moi.
Call me back.	Rappelez-moi.
Can I finish?	Puis-je terminer ?
Can I finish?	Puis-je en finir ?
Can I go now?	Puis-je m'en aller maintenant ?
Can I go now?	Puis-je partir maintenant ?
Can I go now?	Est-ce que je pourrais y aller maintenant ?
Can I try it?	Je peux essayer ?
Can we leave?	Pouvons-nous partir ?
Can we leave?	Peut-on s'en aller ?
Can we start?	Pouvons-nous commencer ?
Can you come?	Peux-tu venir ?
Can you come?	Pouvez-vous venir ?
Can you stay?	Pouvez-vous rester ?
Can you swim?	Sais-tu nager ?
Can you swim?	Est-ce que tu sais nager ?
Can you swim?	Est-ce que vous savez nager ?
Can you swim?	Savez-vous nager ?
Can you swim?	Sais-tu nager ?
Can you walk?	Peux-tu marcher ?
Can you walk?	Pouvez-vous marcher ?
Check it out!	Vérifiez !
Check it out!	Vérifie !
Come at once.	Viens ici immédiatement.
Come back in.	Reviens à l'intérieur.
Come help me.	Viens m'aider.
Come help me.	Viens me donner un coup de main.
Come in, Tom.	Entre, Tom.
Come join us.	Viens nous rejoindre !
Come join us.	Viens te joindre à nous !
Come join us.	Venez vous joindre à nous !
Come join us.	Venez nous rejoindre !
Come outside.	Viens dehors.
Come outside.	Venez à l'extérieur.
Come quickly!	Viens vite !
Come quickly!	Venez vite !
Come quickly!	Dépêche-toi de venir !
Come quickly!	Dépêchez-vous de venir !
Come quickly.	Viens vite.
Come quickly.	Venez vite.
Come up here.	Approche.
Come up here.	Approchez.
Come with me.	Venez avec moi.
Come with me.	Viens avec moi.
Come with me.	Joignez-vous à nous.
Come with us.	Venez avec nous.
Cool it down.	Baisse le ton.
Could we sit?	Pourrions-nous nous asseoir ?
Cover for me.	Remplace-moi.
Cut that out!	Arrête !
Cut that out!	Arrêtez !
Cut that out!	Arrêtez ça !
Cut that out!	Arrête ça !
Did Tom call?	Est-ce que Tom a appelé ?
Did Tom fall?	Tom est-il tombé ?
Did Tom sing?	Tom a-t-il chanté ?
Did Tom stay?	Tom est-il resté ?
Did Tom swim?	Tom a-t-il nagé ?
Did you call?	Tu avais appelé ?
Did you sign?	As-tu signé ?
Did you vote?	As-tu voté ?
Did you vote?	Avez-vous voté ?
Do I look OK?	Ai-je l'air bien ?
Do you agree?	Es-tu d'accord ?
Do you agree?	Es-tu d’accord ?
Do you agree?	Tu es d'accord ?
Do you drink?	Buvez-vous ?
Do you drink?	Bois-tu ?
Do you smoke?	Fumez-vous ?
Do you smoke?	Fumes-tu ?
Do you smoke?	Tu fumes ?
Do you smoke?	Est-ce que tu fumes ?
Do you smoke?	Est-ce que vous fumez ?
Do you teach?	Es-tu enseignante ?
Do your best!	Fais de ton mieux !
Do your best.	Faites de votre mieux.
Do your best.	Faites au mieux.
Do your duty.	Faites votre devoir.
Does it hurt?	Cela fait-il mal ?
Does it hurt?	Est-ce que ça fait mal ?
Does it work?	Est-ce que ça marche ?
Does it work?	Est-ce que ça fonctionne ?
Don't ask me.	Ce n'est pas à moi qu'il faut le demander.
Don't be mad.	Ne fais pas la tête.
Don't be sad.	Ne sois pas malheureux.
Don't be sad.	Ne sois pas vexé.
Don't be shy.	Ne sois pas timide.
Don't be shy.	Ne vous gênez pas.
Don't bother.	Ne dérange pas.
Don't bother.	Ne dérangez pas.
Don't forget.	Ne l'oubliez pas !
Don't get up.	Ne vous levez pas.
Don't kid me!	Ne me fais pas marcher !
Don't kid me!	Ne me faites pas marcher !
Don't kid me!	Ne me charrie pas !
Don't kid me!	Ne me charriez pas !
Don't litter!	Ne pas déverser d'immondices !
Don't ramble.	Ne radote pas.
Don't ramble.	Ne radotez pas.
Don't resist.	Ne résiste pas !
Drive safely.	Conduis prudemment !
Drive safely.	Conduisez prudemment.
Drive slowly.	Conduis lentement.
Drop the gun.	Lâche l'arme !
Drop the gun.	Lâchez l'arme !
Easy does it.	On se calme !
Easy does it.	On n'est pas aux pièces !
Find the cat.	Trouvez le chat.
Find the cat.	Trouve le chat.
Fish, please.	Du poisson s'il vous plaît.
Get a doctor.	Va chercher un médecin !
Get a doctor.	Allez chercher un médecin !
Get my rifle.	Attrape mon fusil !
Get my rifle.	Attrapez mon fusil !
Get my rifle.	Attrape ma carabine !
Get my rifle.	Attrapez ma carabine !
Ghosts exist.	Les fantômes existent.
Give me half.	Donne-moi la moitié.
Go for broke!	Jouez le tout pour le tout !
Go for broke!	Joue le tout pour le tout !
Go to school.	Va à l'école.
Go to school.	Allez à l'école !
Good evening.	Bonsoir.
Good for you.	C'est bien pour toi.
Good for you.	C'est bien pour vous.
Good morning.	Bonjour !
Good morning.	Bonjour.
Grab a spoon.	Attrape une cuillère.
Grab my hand.	Saisis-moi la main !
Grab my hand.	Saisissez-moi la main !
Hand it over.	Remets-le.
Hand it over.	Remettez-le.
Have a donut.	Prends un beignet.
Have a donut.	Prenez un beignet.
Have a drink.	Prends un verre !
Have a drink.	Prenez un verre !
Have a drink.	Prends une boisson !
Have a drink.	Prenez une boisson !
Have a snack.	Prends un en-cas !
Have a snack.	Prenez un en-cas !
Have a taste.	Goûte !
Have a taste.	Goûtez !
Have another.	Prends-en un autre.
He avoids me.	Il m'évite.
He could die.	Il se pourrait qu'il meure.
He denied it.	Il l'a nié.
He denied it.	Il le nia.
He denied it.	Il l'a refusé.
He denied it.	Il le refusa.
He dozed off.	Il s'est endormi.
He dumped me.	Il m'a plaquée.
He dumped me.	Il m'a laissée tomber.
He got angry.	Il s'est fâché.
He got angry.	Il s'est mis en colère.
He had a dog.	Il avait un chien.
He has a car.	Il dispose d'un véhicule.
He has money.	Il dispose d'argent.
He helps her.	Il l'aide.
He is a poet.	C'est un poète.
He is a poet.	Il est poète.
He is asleep.	Il est endormi.
He is cranky.	Il est excentrique.
He is eating.	Il est en train de manger.
He is heroic.	Il est héroïque.
He is not in.	Il n'est pas chez lui.
He is not in.	Il n'est pas à l'intérieur.
He just left.	Il vient de partir.
He kicked it.	Il y donna un coup de pied.
He let me go.	Il m'a laissé m'en aller.
He let me go.	Il m'a laissée m'en aller.
He let me go.	Il m'a laissé partir.
He let me go.	Il m'a laissée partir.
He let me go.	Il me laissa partir.
He let me go.	Il me laissa m'en aller.
He let us go.	Il nous laissa partir.
He let us go.	Il nous laissa nous en aller.
He let us go.	Il nous a laissés nous en aller.
He let us go.	Il nous a laissées nous en aller.
He let us go.	Il nous a laissées partir.
He let us go.	Il nous a laissés partir.
He likes tea.	Il aime le thé.
He lost face.	Il a perdu la face.
He loves her.	Il l'aime.
He mocked me.	Il s'est moqué de moi.
He needs you.	Il a besoin de toi.
He needs you.	Il a besoin de vous.
He shall die.	Il doit mourir.
He wants one.	Il en veut une.
He wants one.	Il en veut un.
He was alone.	Il était seul.
He was brave.	Il était brave.
He was brave.	Il était courageux.
He was great.	Il a été super.
He was lucky.	Il a eu de la chance.
He was naive.	Il était crédule.
He was naive.	Il était naïf.
He was wrong.	Il eut tort.
He was wrong.	Il avait tort.
He was wrong.	Il a eu tort.
He will come.	Il devrait arriver.
He will come.	Il viendra.
He will wait.	Il attendra.
He's a bigot.	C'est un bigot.
He's a bigot.	C'est un sectaire.
He's a bigot.	C'est un fanatique.
He's a bigot.	C'est un illuminé.
He's in pain.	Il souffre.
He's married.	Il est marié.
He's my hero.	C'est mon héros.
He's out now.	Il est actuellement à l'extérieur.
He's so cute.	Il est si mignon !
He's so cute.	Il est tellement mignon !
Hello, girls.	Salut les filles !
Here's a pen.	Voilà un stylo.
Hey, wait up!	Hé, un moment !
Hold my hand.	Tiens ma main.
How annoying!	C'est bien embêtant !
How dare you!	Comment oses-tu !
How dare you!	Comment osez-vous !
How did I do?	Comment ai-je fait ?
How horrible!	Quelle horreur !
How romantic!	Comme c'est romantique !
How's school?	Comment ça se passe, à l'école ?
I admire you.	Je t'admire.
I admire you.	Je vous admire.
I always win.	Je gagne toujours.
I am ashamed.	J'ai honte.
I am at home.	Je suis à la maison.
I am curious.	Je suis curieux.
I am married.	Je suis mariée.
I am so sick.	Je suis tellement malade.
I am so sick.	Je suis si malade.
I am so sick.	C'est moi qui suis tellement malade.
I am so sick.	C'est moi qui suis si malade.
I am thirsty.	J'ai soif.
I am working.	Je suis en train de travailler.
I apologized.	J'ai présenté mes excuses.
I ate apples.	J'ai mangé des pommes.
I ate caviar.	J'ai mangé du caviar.
I believe it.	J'y crois.
I believe it.	Je le crois.
I called him.	Je l'ai appelé.
I called you.	Je vous ai appelés.
I called you.	Je vous ai appelées.
I called you.	Je vous ai appelée.
I called you.	Je vous ai appelé.
I called you.	Je t'ai appelé.
I called you.	Je t'ai appelée.
I can fix it.	Je peux le réparer.
I can fix it.	Je peux la réparer.
I can manage.	Je peux me débrouiller.
I can't help.	Je n'y peux rien.
I can't move.	Je ne peux pas bouger.
I can't sing.	Je suis incapable de chanter.
I can't sing.	Je ne sais pas chanter.
I can't swim.	Je ne sais pas nager.
I can't wait.	Je suis impatient.
I can't wait.	Je suis impatiente.
I caught Tom.	J'ai attrapé Tom.
I could help.	Je pourrais aider.
I could help.	Je pouvais aider.
I could walk.	Je pouvais marcher.
I could walk.	Je pourrais marcher.
I cried, too.	J'ai également pleuré.
I cry easily.	Je pleure facilement.
I cut myself.	Je me suis coupé.
I cut myself.	Je me suis coupée.
I cut myself.	Je me coupai.
I deserve it.	Je le mérite.
I did my job.	J'ai fait mon travail.
I did my job.	Je fis mon travail.
I did my job.	J'ai effectué mon boulot.
I did see it.	Je l'ai vu, en effet.
I didn't ask.	Je n'ai pas demandé.
I didn't cry.	Je n'ai pas pleuré.
I didn't pay.	Je n'ai pas payé.
I didn't win.	Je n'ai pas gagné.
I didn't win.	Je ne l'ai pas emporté.
I don't bite.	Je ne mords pas.
I don't care.	Ça m'est égal.
I don't care.	Je m'en fous.
I don't date.	Je ne sors pas avec des filles.
I don't date.	Je ne sors pas avec des garçons.
I don't date.	Je ne sors pas avec une fille.
